"word","analysis","example","etymology","affix","history","word_form","memory_aid","story"
"ABC","ABC 是一种常用的英文缩略词，也是英语字母表的前三个字母，代表字母 A、B 和 C，常被用来表示基本的、初级的或最初级的概念，比如 'ABCs of XYZ' 就是 'XYZ 的基础知识'。在某些情况下，ABC 也被当作一种流行的排序方法，或被引用为一种学习的象征。在商业领域，ABC 常常指 Activity-Based Costing（基础成本法）。","- You should always remember your ABCs.（你应该一直记住你的基础知识。）\n\n- The teacher is teaching the students their ABCs.（老师正在教孩子们学 ABC。）\n\n- The company adopts the ABC in accounting for more accurate costs.（公司在会计中采用基础成本法以获得更准确的成本。）","ABC, 首字母缩略词，A、B、C 是英语字母表的前三个字母，没有明显的词根。","无词缀","这个缩略词和它的意义可以追溯到比较早的时期，当字母表被用于教育目的时。到了现代，'ABC' 这个短语广泛用于若干领域，比如教育、音乐、电视和商业等。","无","古老的儿歌 'ABC Song' 是一种很好的方法来记住 ABC，它将字母 A 到 Z 的顺序融入到一首简单易记的歌曲中。","Tom is a first-grader. Today he happily brought home his first English book. He looked at his mother and said, 'Mom, I learned the ABCs today!'  \n\n(汤姆是一名一年级学生。今天他高兴地带回家他的第一本英语书。他看着妈妈说：“妈妈，我今天学了 ABC!')"
"Amsterdam","'Amsterdam' 是荷兰首都的名称，被誉为欧洲最繁华和文化气息浓厚的城市之一。","- I visited the Van Gogh Museum in Amsterdam.（我参观了阿姆斯特丹的梵高博物馆。)\n\n- Amsterdam is known for its artistic heritage.(阿姆斯特丹以其丰富的艺术遗产而闻名。)\n\n- I took a boat tour along the canals of Amsterdam.(我在阿姆斯特丹的运河上进行了船游。）","无","无","Amsterdam 的名字源自于荷兰语对'默西尔河上的堤防'的描述。默西尔河是一个小河流，阿姆斯特丹市街就建在这个河的旧河床上。而这个城市在历史上以其自由开放的文化精神和丰富的艺术遗产闻名于世。","无","'Amsterdam' 这个单词可以通过联想阿姆斯特丹市的标志性景点（如风车、运河、梵高博物馆等）来记忆。","In Amsterdam, I marveled at the beautiful houses lining the canals, each one unique and full of history. I could feel the artistic soul of the city pulsating in every corner.  \n\n在阿姆斯特丹，我对运河旁排列着的美丽房屋感到惊叹，每一栋都独一无二，充满历史。我可以在每个角落感受到这个城市的艺术灵魂在跳动。"
"NBA","NBA 是 “National Basketball Association” 的缩写，中文翻译为“全国篮球协会”。它是北美的一家专业篮球联赛，由30个队伍组成，是全球四大体育联赛之一。由于NBA众多一流的篮球技能和独特的赛事形式，使得它在全球范围内享有极高的知名度。","- NBA is known globally for its high standards of basketball. （NBA因其高标准的篮球技艺在全球范围内而闻名。）\n\n- Michael Jordan was a basketball superstar in the NBA. （迈克尔·乔丹是NBA的篮球巨星。）\n\n- Many young players dream of playing in the NBA.（许多年轻球员梦想在NBA中打球。）","NBA作为一个缩写，所以它没有词根、词缀。","无","在历史和文化的发展方面, NBA成立于1946年，最初叫做美国篮球协会（BAA），在合并了国家篮球联盟（NBL）后更名为现在的全国篮球协会。NBA在全世界的影响力不断增长，吸引着来自世界各地的优秀球员。","NBA的变形可能包括不同的相关固定搭配和短语,如:NBA player (NBA球员)、NBA team (NBA队伍)、NBA game (NBA比赛).","由于'NBA'的含义相对简单，你可以将它视为一部分或者是关联到你最喜欢的球队或者球员，来更加容易记忆。","Tom has been a huge fan of basketball since he was a kid. Ever since he watched his first NBA game on television, he dreamed of becoming a professional NBA player.（自从汤姆小时候看过他的第一场NBA比赛，他就梦想成为一名专业的NBA球员。）"
"Tahiti","Tahiti是一个专有名词，源自法语，指的是太平洋南部大溪地岛。这个词没有特定的词根、词缀和变形。它是法属波利尼西亚的最大岛屿，也是经济、文化和政治中心。","- I've always dreamed of going to Tahiti.(我一直梦想去大溪地岛。)\n\n- Tahiti is renowned for its beauty.(大溪地以其美丽而闻名。)\n\n- We spent our vacation in Tahiti.(我们在大溪地度假。)","无","","大溪地岛是法属波利尼西亚的主岛，经济、文化和政治中心。岛屿上的土地肥沃，热带雨林丰富，气候宜人。此外，那里的珊瑚礁和海滩美景也吸引了众多游客。","无","你可以想象一下，你在一个充满了美丽热带风光的地方，那就是Tahiti（大溪地）。天堂般的场景和词语的发音可以互相联系起来帮助你记住这个单词。","We felt as if we stepped into another world the moment we landed on Tahiti. The vibrant colors of the flowers, the turquoise waters, and the friendly smiles of the locals - all added to the charm.\n\n当我们降落在大溪地的那一刻，我们仿佛步入了另一个世界。鲜艳的花朵，碧绿的水域，以及当地人亲切的笑容--统统增添了它的魅力。"
"commute","'Commute' 是一个英语动词，主要有两个意思：1) 指的是在两个地方之间，如家和工作地点，定时往返，就如我们常提到的'通勤'; 2) 在数学和法律卧室，它指的是改变事物的状态或顺序。","- She commutes to work by train every day. 她每天坐火车通勤上班。\n\n- As the need arose, he had to commute from the city to the countryside regularly. 随着需求的出现，他不得不定期从城市通勤到乡下。\n\n- The judge decided to commute his sentence to a fine. 法官决定将他的刑罚兑换为罚款。","Commute 这个单词的词根是 Latin 词 'commutare'，意为 'to change' or 'to exchange'（改变或交换）。 Commutate 还可进一步拆分为 'com-' （一起）和 '-mutare'（交换）。","Commute 这个单词的词缀是 'com-' 和 '-ute'。'Com-' 是一个前缀，意思是'一起'，'-ute'是后缀，它在这里没有特定的意思，但用于形成动词。","Commute 这个词始于16世纪，源自拉丁语'commutare'，最早的意思是'交换'或'替换'。现代意义，作为'定期往返于两地之间'的词汇，源于19世纪的美国，与城市化和近代化的交通工具的发展密切相关。","- 名词：Commuter (通勤者)\n\n- 形容词：Commutative (换位的，交换的)\n\n- 副词：Not applicable as this word is primarily used as a verb.","想记住commute这个单词，你可以关联到'common route'，因为通勤就意味着你要经常走一条常规的路线。","'Every day, John wakes up at 6am to commute to his office in the city. Despite the long journey, he enjoys the ride as he gets to admire the city's beautiful skyline every morning. John is a daily commuter in this fast-paced city.'  \n\n每天，约翰都会在早上6点起床，然后通勤去城里的办公室。尽管路程很长，他仍然喜欢这样的旅行，因为他可以每天早晨欣赏到城市美丽的天际线。约翰是这个快节奏城市的每日通勤者。"
"generally","'Generally' is an adverb, and it means usually or in most situations. It's often used to describe something that is commonly found or recognized as a norm or standard.","- Schools generally teach students basic skills.（学校通常教给学生基本技能。）\n\n- She generally arrives home at six o'clock.（她通常六点钟到家。）\n\n- Generally speaking, I think it's a great idea. (总的来说，我觉得这是个好主意。)","The root word in 'generally' is 'general'. 'General' originally comes from the Latin word 'generalis', which pertains to all kinds, classes, or places.","The word 'generally' has a suffix -ly. This is a common suffix in English, often adding the meaning 'in what way' or 'characteristic of' to an adjective to form an adverb.","The word ‘general’ comes from the Old French ‘general’, which was used to represent 'something applicable to whole class'. The suffix '-ly' is from Old English –lice, meaning 'manner' or 'form'.","The word 'generally' doesn't have a noun form, but its root 'general' does, as in 'a general in the army'. The word 'general' can also act as an adjective. For example, 'It's just a general overview' (这仅仅是个总体概述) and 'He has a general understanding of the subject' (他对这个主题有个大概的理解).","You can remember this word by breaking it into two parts 'general' and 'ly'. 'General' means it is applicable to most cases, and 'ly' is indicative of a form or a manner thus forming 'generally' or 'usually'.","'Despite the tough training, the athletes generally felt happy as they knew they were improving step by step.' (尽管训练艰难，但是运动员们通常都感到很开心，因为他们知道自己正在一步步提高。)"
"miniature","'Miniature'是一个形容词， 它的意思是极小的或迷你的，通常是用来描述一个小规模复制物。这个词也可以作为一个名词来使用，表示一个小版本或模型。","- This is a miniature replica of the Eiffel Tower. (这是一个埃菲尔铁塔的迷你复制品。)\n\n- Some people like to keep miniature dogs as pets. (有些人喜欢饲养迷你型的狗作为宠物。)\n\n- The artist is known for her highly detailed miniature paintings. (这位艺术家以她极具细节的微型画作而闻名。)","'Miniature'这个词源自拉丁语单词 'minium'，意为 '亮红色颜料'，因为中世纪的插图经常使用这种颜料。随后，意义扩展为小型画作，再扩展为小型的或缩小的。由此词根衍生的其他单词有'minimum'，“minimal'。","'Miniature'的词缀'mini-'源自拉丁语的'minimis'，意思是'小的'。其他携带相同词缀的单词有'minimum'，'minimalist', 'mini-skirt'等。","'Miniature'这个词与欧洲中世纪时期的绘画技巧有关，当时，一种名为'minium'的亮红色颜料在装饰手抄本中常用于插图，这些由此颜料绘制的小插图称作'miniature'。在时间推移中，'miniature'的含义扩展为代表任何小型画作或模型。","- 名词形式：miniature（微型，微型画）  \n\n- 形容词形式：miniature（微型的）","你可以通过连接这个词的发音和意思来记住它。'Miniature'发音类似'mini' +'ature',在你头脑中可以形象地想象一下你最喜欢的'mini'物件，应该能帮助你记住这个词。","Once, I received a miniature globe as a gift. It spun smoothly, showing every country no larger than my thumbnail. It was a tiny world in my hands.  \n\n(有一次，我收到了一份微型地球仪的礼物。它旋转得非常顺畅，上面每个国家都不大于我的指甲。这是我手中的一个小世界。)"
"repeatedly","单词'repeatedly'是一个副词，意为“一再地，反复地，不断地”。在日常生活、工作学习，以及文学作品中都有大量使用。","- He knocked on the door repeatedly but no one answered.（他反复敲门，但无人应答。）  \n\n- The homework is hard, so you need to review it repeatedly.（这个作业很难，你需要反复复习。）  \n\n- Repeatedly pressing the button will not speed up the process.（重复按按钮不会加速进程。）","Repeatedly 的词根是 'peat'，来源于拉丁词根 'petere'，意为'追求，寻求'。词根 'peat' 表示'多次，再次'的意思。","'Repeatedly' 的前缀是 're-'，表示'再次、重复'，词根是 'peat'，后缀是'-ed'和'-ly'，'ed' 是动词的过去式和过去分词，'ly' 经常作为形容词后缀。","“Repeatedly”一词源自中世纪拉丁文的'repetere'，意为“再次获取”，再经过演变成为我们现在所使用的形式。","Repeated (形容词，重复的)；Repeat (动词，反复或复述；名词，反复或复述)","给你一个记忆的方法：可以联想到生活中常有的重复行为，比如敲门（Knocking the door repeatedly）, 复习功课（Review the lessons repeatedly）等情景，这样更容易记住它。","John repeatedly stood by the phone, anxiously waiting for his son's return call. The silence of the night was occasionally broken by the ticking of the clock. (约翰反复站在电话旁，焦急地等待儿子的回电。夜晚的寂静偶尔被时钟的滴答声打破。)"
"twist","'Twist' 在英语中有很多不同的含义，这取决于它如何使用。它最基本的意思是物理上的“扭转”或“旋转”，通常涉及到一种更改形状或方向的动作。此外，它还可以表示情节的“转折”或“突然变化”，例如在故事或电影中。","- She twisted her ankle while playing basketball.(她打篮球的时候扭伤了脚踝。)\n\n- The path twists and turns through the mountains.(小路蜿蜒曲折地穿过群山。)\n\n- The movie has an unexpected twist at the end.(这部电影结尾处有一个意想不到的转折。)","'Twist' 的词根是旧英语的 'twist', 它的意思是 '绳子' 或 '线'，它可能来自 Proto-Germanic 的 'twis',表示 '两个' 的意思，原指把两股线一起绕成一股绳子。","'Twist' 是一个基础词，没有词缀。","'Twist' 在英国文化中，是一种古老和普遍的话题，尤其是在文学和剧作中。这个词已经被用来描述物理运动、故事情节的突然转变以及思想和行为方式的变化。","- Noun (名词): Twist  \n\n- Plural (复数): Twists  \n\n- Verbal noun (动名词): Twisting  \n\n- Past tense (过去式): Twisted  \n\n- Adjective (形容词): Twisted","你可以把 'Twist' 和模拟扭两段线的动作关联起来，想象你正在把两段线向反方向扭成一个绳子。","Once upon a time, there was a mysterious path in a forest. The path twisted like a snake, causing anyone who followed it to lose their way. But, the twist at the end was, it led to a hidden treasure.(从前，森林里有一条神秘的小路。这条小路像蛇一样蜿蜒曲折，导致任何追随它的人都会迷失方向。但是，最后的转折是，它通向一个隐藏的宝藏。)"
"BC","BC在英语中被广泛翻译为“公元前”。BC原指'Before Christ'（基督出生之前），不过现在更常用的是'BCE'，即'Before Common Era'（公元前）。这样的表示法在历史和科学领域非常普遍，用于标注距离今天很久远的年份，如 '500 BC'，就专指公元前500年。","- Julius Caesar was assassinated in 44 BC.（朱利亚斯·恺撒在公元前44年被暗杀。）\n\n- Rome was founded around 753 BC.（罗马建城大约在公元前753年。）\n\n-The Great Pyramid of Giza was built around 2580–2560 BC.（埃及吉萨的大金字塔建造于公元前2580—2560年左右。）","由于BC是一个特殊的表示法，无法使用词根、","同时，由于BC是时间表示法，所以并无具体的名词、动词等","无","无","关于记忆BC，你可以这样想: B代表(before，前面)，C代表(Christ，基督)，即“基督之前”。在运用数年份的场景时，往往需要包含BC，所以在看带有历史年份的文本时常会见到这个词。","In 27 BC, Julius Caesar's adopted son Octavius had completed his rise to power, and was named the first Emperor of Rome, Caesar Augustus. (公元前27年，朱利亚斯·恺撒的养子奥克塔维乌斯完成了他的权力崛起，并被任命为罗马的第一位皇帝，属于凯撒·奥古斯都。)"
